1325.2969832846 0.9992233935 0.0000906996 TESS
1325.2983721541 0.9993811350 0.0000909794 TESS
1325.2997610237 0.9994243890 0.0000910026 TESS
1325.3011498932 0.9995202454 0.0000910400 TESS
1325.3025387628 0.9999665787 0.0000910829 TESS
1325.3039276324 1.0001229902 0.0000910999 TESS
1325.3053165020 1.0000049235 0.0000910853 TESS
1325.3067053715 0.9999904467 0.0000910820 TESS
1325.3080942412 1.0002487257 0.0000911133 TESS
1325.3094831108 1.0002698060 0.0000910903 TESS
1325.3108719803 1.0001473259 0.0000911552 TESS
1325.3122608500 1.0000974968 0.0000910512 TESS
1325.3136497196 0.9999099108 0.0000910814 TESS
1325.3150385893 1.0001249486 0.0000911507 TESS
1325.3164274589 1.0001789646 0.0000910944 TESS
1325.3178163285 1.0000566085 0.0000911040 TESS
1325.3192051982 0.9998003372 0.0000910610 TESS
1325.3205940678 1.0003001338 0.0000911172 TESS
1325.3219829375 1.0000747836 0.0000911115 TESS
1325.3233718071 1.0000910239 0.0000911137 TESS
1325.3247606768 1.0001012976 0.0000911141 TESS
1325.3261495465 1.0002585695 0.0000911419 TESS
1325.3275384162 1.0003494808 0.0000910913 TESS
1325.3289272858 0.9999986543 0.0000910875 TESS
1325.3303161556 1.0003561669 0.0000911016 TESS
1325.3317050252 1.0002432524 0.0000911128 TESS
1325.3330938950 1.0000857098 0.0000910985 TESS
1325.3344827646 0.9999951875 0.0000910747 TESS
1325.3358716344 0.9999669946 0.0000910949 TESS
1325.3372605041 1.0000496465 0.0000911296 TESS
1325.3386493738 0.9998632737 0.0000910869 TESS
1325.3400382435 1.0001649222 0.0000911049 TESS
1325.3414271133 0.9998755344 0.0000911041 TESS
1325.3428159830 1.0004178015 0.0000911328 TESS
1325.3442048528 1.0001390952 0.0000910871 TESS
1325.3455937226 0.9997945998 0.0000911070 TESS
1325.3469825923 0.9999184701 0.0000910986 TESS
1325.3483714621 0.9997276433 0.0000911039 TESS
1325.3497603318 0.9998726565 0.0000910944 TESS
